Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
SLC,DFW,Skywest Airlines Inc.,1931,214,309,0,55,2509
SLC,DRO,Skywest Airlines Inc.,754,87,14,0,411,1266
SLC,DSM,Skywest Airlines Inc.,116,0,0,0,0,116
SLC,DTW,Delta Air Lines Inc.,253,54,302,0,84,693
SLC,DTW,Skywest Airlines Inc.,385,0,0,0,0,385
SLC,EKO,Skywest Airlines Inc.,2080,696,67,0,1017,3860
SLC,ELP,Skywest Airlines Inc.,115,0,0,0,40,155
SLC,EUG,Skywest Airlines Inc.,671,196,84,0,68,1019
SLC,EWR,Delta Air Lines Inc.,143,434,3365,0,756,4698
SLC,FAI,Delta Air Lines Inc.,60,0,0,0,0,60
SLC,FAR,Skywest Airlines Inc.,289,11,4,0,40,344
SLC,FAT,Skywest Airlines Inc.,892,528,106,0,494,2020
SLC,FCA,Skywest Airlines Inc.,2252,509,243,37,1057,4098
SLC,FLL,Delta Air Lines Inc.,362,6,150,0,404,922
SLC,FSD,Skywest Airlines Inc.,58,0,0,0,0,58
SLC,GEG,Delta Air Lines Inc.,783,28,274,0,1016,2101
SLC,GEG,Skywest Airlines Inc.,2574,823,48,86,1135,4666
SLC,GEG,Southwest Airlines Co.,177,35,96,7,1811,2126
SLC,GJT,Skywest Airlines Inc.,1047,160,86,16,690,1999
SLC,GTF,Skywest Airlines Inc.,1110,243,8,0,288,1649
SLC,HDN,Skywest Airlines Inc.,968,420,111,0,278,1777
SLC,HLN,Skywest Airlines Inc.,1846,368,175,0,1030,3419
SLC,HNL,Delta Air Lines Inc.,553,208,173,0,899,1833
SLC,IAD,Delta Air Lines Inc.,736,0,163,0,187,1086
SLC,IAH,Skywest Airlines Inc.,2135,493,1027,0,366,4021
SLC,IDA,Skywest Airlines Inc.,2885,713,352,60,719,4729
SLC,JAC,Delta Air Lines Inc.,401,29,109,0,277,816
SLC,JAC,Skywest Airlines Inc.,4597,970,220,278,1093,7158
SLC,JFK,Delta Air Lines Inc.,803,168,1331,0,1115,3417
SLC,JFK,JetBlue Airways,466,0,302,0,1181,1949
SLC,LAS,Delta Air Lines Inc.,2269,22,1857,0,1372,5520
SLC,LAS,JetBlue Airways,108,0,1,0,236,345
SLC,LAS,Skywest Airlines Inc.,2040,113,460,0,479,3092
SLC,LAS,Southwest Airlines Co.,2061,770,2586,6,8694,14117
SLC,LAS,US Airways Inc.,6,0,20,0,64,90
