Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
DCA,ORD,American Eagle Airlines Inc.,349,15,1349,0,2669,4382
DCA,ORD,United Air Lines Inc.,4571,926,14405,0,12615,32517
DCA,PBI,US Airways Inc.,888,126,791,21,854,2680
DCA,PHX,US Airways Inc.,1595,329,967,4,730,3625
DCA,PIT,US Airways Inc.,91,113,107,0,225,536
DCA,PVD,US Airways Inc.,521,246,415,0,1245,2427
DCA,RDU,American Eagle Airlines Inc.,3572,550,1556,0,7870,13548
DCA,RSW,US Airways Inc.,439,0,121,0,326,886
DCA,SEA,Alaska Airlines Inc.,550,28,575,0,486,1639
DCA,SLC,Delta Air Lines Inc.,110,0,96,0,618,824
DCA,SRQ,US Airways Inc.,31,0,6,0,0,37
DCA,STL,American Airlines Inc.,1250,251,678,0,2742,4921
DCA,SYR,US Airways Inc.,197,110,25,0,560,892
DCA,TPA,US Airways Inc.,1755,599,1369,0,2228,5951
DCA,XNA,American Eagle Airlines Inc.,577,198,698,0,1712,3185
DEN,ABQ,Frontier Airlines Inc.,744,35,1036,0,668,2483
DEN,ABQ,Skywest Airlines Inc.,514,2,187,0,2236,2939
DEN,ABQ,Southwest Airlines Co.,1406,0,235,1,4297,5939
DEN,ABQ,United Air Lines Inc.,2516,134,752,0,5382,8784
DEN,AMA,Southwest Airlines Co.,822,181,132,9,980,2124
DEN,ANC,Frontier Airlines Inc.,214,0,371,0,110,695
DEN,ANC,United Air Lines Inc.,737,54,305,0,1137,2233
DEN,ASE,Skywest Airlines Inc.,3514,2474,431,35,11313,17767
DEN,ATL,Delta Air Lines Inc.,3455,153,2012,0,3142,8762
DEN,ATL,Frontier Airlines Inc.,3035,63,2665,0,516,6279
DEN,ATL,United Air Lines Inc.,828,40,463,0,876,2207
DEN,AUS,Frontier Airlines Inc.,1216,48,1851,0,1070,4185
DEN,AUS,Skywest Airlines Inc.,338,0,30,0,1037,1405
DEN,AUS,Southwest Airlines Co.,253,45,96,0,577,971
DEN,AUS,United Air Lines Inc.,2347,42,410,0,3249,6048
DEN,BDL,Frontier Airlines Inc.,480,0,202,0,21,703
DEN,BFL,Skywest Airlines Inc.,349,0,60,0,1130,1539
DEN,BHM,Skywest Airlines Inc.,702,42,290,0,2195,3229
DEN,BIL,Skywest Airlines Inc.,294,38,50,0,419,801
DEN,BIL,United Air Lines Inc.,2641,39,419,0,5248,8347
DEN,BIS,Skywest Airlines Inc.,1347,108,322,0,3233,5010
DEN,BNA,Frontier Airlines Inc.,1462,35,2212,0,728,4437
DEN,BNA,Skywest Airlines Inc.,952,0,144,1,1140,2237
DEN,BNA,Southwest Airlines Co.,925,12,329,5,1783,3054
DEN,BOI,Frontier Airlines Inc.,429,0,350,0,274,1053
DEN,BOI,Skywest Airlines Inc.,726,53,187,0,1101,2067
DEN,BOI,United Air Lines Inc.,2729,125,673,0,6069,9596
DEN,BOS,JetBlue Airways,182,0,175,0,2445,2802
DEN,BOS,United Air Lines Inc.,4124,252,4023,0,7681,16080
DEN,BUR,Skywest Airlines Inc.,1522,97,140,0,2771,4530
DEN,BUR,United Air Lines Inc.,1105,46,255,0,1398,2804
DEN,BWI,Southwest Airlines Co.,1555,37,815,0,1203,3610
DEN,BWI,United Air Lines Inc.,3836,149,2013,0,7643,13641
DEN,BZN,Skywest Airlines Inc.,1218,85,313,0,4155,5771
DEN,BZN,United Air Lines Inc.,625,0,180,0,862,1667
DEN,CAK,Frontier Airlines Inc.,1134,9,1029,0,1085,3257
DEN,CID,Skywest Airlines Inc.,577,76,265,0,1909,2827
DEN,CLE,Skywest Airlines Inc.,218,0,0,0,193,411
DEN,CLE,United Air Lines Inc.,580,22,76,0,1187,1865
DEN,CLT,US Airways Inc.,2335,0,281,0,639,3255
DEN,CLT,United Air Lines Inc.,1665,96,367,0,1957,4085
DEN,CMH,United Air Lines Inc.,1624,207,278,0,1653,3762
DEN,COD,Skywest Airlines Inc.,115,0,26,0,216,357
DEN,COS,Skywest Airlines Inc.,3565,581,1099,0,11709,16954
DEN,CPR,Skywest Airlines Inc.,175,108,55,0,701,1039
DEN,CVG,Delta Air Lines Inc.,261,23,44,0,354,682
DEN,CVG,Skywest Airlines Inc.,382,97,245,0,1625,2349
DEN,DAY,Frontier Airlines Inc.,1236,0,903,0,413,2552
DEN,DAY,Skywest Airlines Inc.,273,0,91,0,606,970
DEN,DCA,Frontier Airlines Inc.,1737,77,1328,0,879,4021
DEN,DCA,United Air Lines Inc.,1021,220,452,0,1344,3037
DEN,DFW,American Airlines Inc.,4808,383,5835,15,13705,24746
DEN,DFW,Frontier Airlines Inc.,2682,90,2757,0,1444,6973
DEN,DFW,Skywest Airlines Inc.,0,0,0,0,16,16
DEN,DFW,United Air Lines Inc.,5764,282,2624,0,9558,18228
DEN,DRO,Skywest Airlines Inc.,1144,120,444,0,1833,3541
DEN,DSM,Skywest Airlines Inc.,129,67,189,0,705,1090
DEN,DSM,United Air Lines Inc.,2306,25,794,0,5050,8175
DEN,DTW,Frontier Airlines Inc.,1513,66,2245,0,988,4812
DEN,DTW,United Air Lines Inc.,1226,43,335,0,2577,4181
DEN,EGE,United Air Lines Inc.,1527,618,400,0,1309,3854
DEN,ELP,Skywest Airlines Inc.,1160,125,248,0,2227,3760
DEN,EUG,Skywest Airlines Inc.,535,31,146,0,2741,3453
DEN,EWR,United Air Lines Inc.,2098,309,11428,0,5564,19399
DEN,FAR,Skywest Airlines Inc.,1211,181,248,0,2982,4622
DEN,FAT,Skywest Airlines Inc.,988,148,228,0,3089,4453
DEN,FCA,Skywest Airlines Inc.,856,125,82,0,1598,2661
DEN,FLL,Frontier Airlines Inc.,947,8,559,0,72,1586
DEN,FLL,United Air Lines Inc.,1340,63,390,0,2183,3976
DEN,FSD,Skywest Airlines Inc.,761,166,274,28,1267,2496
DEN,FSD,United Air Lines Inc.,1388,0,309,0,3264,4961
DEN,GEG,Frontier Airlines Inc.,176,0,231,0,219,626
DEN,GEG,United Air Lines Inc.,2177,144,466,0,2776,5563
DEN,GJT,Skywest Airlines Inc.,643,147,180,0,1197,2167
DEN,GRR,Skywest Airlines Inc.,494,0,237,0,1235,1966
DEN,GRR,United Air Lines Inc.,245,0,89,0,396,730
DEN,GTF,Skywest Airlines Inc.,978,0,126,0,2390,3494
DEN,GUC,Skywest Airlines Inc.,403,85,137,0,518,1143
DEN,GUC,United Air Lines Inc.,363,253,92,0,416,1124
DEN,HDN,Skywest Airlines Inc.,865,22,300,0,3380,4567
DEN,HDN,United Air Lines Inc.,637,75,201,0,922,1835
DEN,HLN,Skywest Airlines Inc.,0,0,15,0,458,473
DEN,HNL,United Air Lines Inc.,1629,86,486,0,413,2614
DEN,HOU,Southwest Airlines Co.,882,129,304,0,2418,3733
DEN,HSV,Skywest Airlines Inc.,446,46,165,0,1030,1687
DEN,IAD,United Air Lines Inc.,7159,277,2848,0,9919,20203
DEN,IAH,Frontier Airlines Inc.,1007,94,1058,0,338,2497
DEN,IAH,Skywest Airlines Inc.,208,49,225,0,844,1326
DEN,IAH,United Air Lines Inc.,2492,238,1382,0,4321,8433
DEN,ICT,Skywest Airlines Inc.,1067,24,339,0,2503,3933
DEN,ICT,United Air Lines Inc.,2947,171,728,0,4456,8302
DEN,IDA,Skywest Airlines Inc.,1141,96,261,0,2286,3784
DEN,IND,Frontier Airlines Inc.,1814,84,1812,0,685,4395
DEN,IND,Southwest Airlines Co.,362,0,18,0,198,578
DEN,IND,United Air Lines Inc.,798,11,234,0,684,1727
DEN,JAC,Frontier Airlines Inc.,66,0,67,0,19,152
DEN,JAC,United Air Lines Inc.,1725,142,592,0,3569,6028
DEN,JAX,Frontier Airlines Inc.,323,0,206,0,97,626
DEN,JFK,Delta Air Lines Inc.,228,0,525,0,715,1468
DEN,JFK,JetBlue Airways,107,0,2275,0,1496,3878
DEN,KOA,United Air Lines Inc.,251,0,21,0,220,492
DEN,LAS,Frontier Airlines Inc.,5777,96,4436,0,1736,12045
DEN,LAS,Southwest Airlines Co.,2088,343,2489,13,10684,15617
DEN,LAS,United Air Lines Inc.,8340,642,5591,0,11862,26435
DEN,LAX,American Airlines Inc.,1106,79,645,0,2481,4311
DEN,LAX,Frontier Airlines Inc.,4948,94,4763,0,1595,11400
DEN,LAX,Southwest Airlines Co.,947,7,397,0,1492,2843
DEN,LAX,United Air Lines Inc.,9081,521,3352,0,16601,29555
DEN,LGA,Frontier Airlines Inc.,8680,73,3045,0,570,12368
DEN,LGA,United Air Lines Inc.,4083,179,12254,0,10790,27306
DEN,LIH,United Air Lines Inc.,163,0,22,0,91,276
DEN,LNK,Skywest Airlines Inc.,1426,0,316,0,3829,5571
DEN,MCI,Frontier Airlines Inc.,1776,22,2454,0,2007,6259
DEN,MCI,Skywest Airlines Inc.,295,0,254,0,466,1015
DEN,MCI,Southwest Airlines Co.,1281,247,399,28,3306,5261
DEN,MCI,United Air Lines Inc.,4188,282,1407,0,9213,15090
DEN,MCO,Frontier Airlines Inc.,1470,15,1205,0,419,3109
DEN,MCO,Southwest Airlines Co.,522,28,323,95,1323,2291
DEN,MCO,United Air Lines Inc.,3823,219,1264,0,4373,9679
DEN,MDW,Frontier Airlines Inc.,2759,95,2214,0,1228,6296
DEN,MDW,Southwest Airlines Co.,2300,1053,1537,35,4666,9591
DEN,MEM,Frontier Airlines Inc.,135,0,9,0,20,164
DEN,MEM,Skywest Airlines Inc.,712,0,214,0,1108,2034
DEN,MFR,Skywest Airlines Inc.,767,112,29,0,607,1515
DEN,MIA,American Airlines Inc.,1597,42,267,0,0,1906
DEN,MIA,United Air Lines Inc.,3276,160,866,0,2392,6694
DEN,MKE,Frontier Airlines Inc.,1334,60,1965,0,881,4240
DEN,MKE,Skywest Airlines Inc.,506,7,126,0,862,1501
DEN,MLI,Skywest Airlines Inc.,297,23,6,0,851,1177
DEN,MRY,Skywest Airlines Inc.,339,80,65,0,362,846
DEN,MSN,Skywest Airlines Inc.,1159,88,288,0,2890,4425
DEN,MSO,Skywest Airlines Inc.,902,90,99,0,2044,3135
DEN,MSO,United Air Lines Inc.,795,16,110,0,998,1919
DEN,MSP,Frontier Airlines Inc.,1752,63,1850,0,662,4327
DEN,MSP,United Air Lines Inc.,3664,238,1717,0,6620,12239
DEN,MSY,United Air Lines Inc.,2717,60,800,0,3538,7115
DEN,MTJ,Skywest Airlines Inc.,0,52,0,0,0,52
DEN,MTJ,United Air Lines Inc.,127,0,23,0,91,241
DEN,OAK,Southwest Airlines Co.,1941,42,948,0,8418,11349
DEN,OAK,United Air Lines Inc.,3552,146,1311,0,7716,12725
DEN,OGG,United Air Lines Inc.,679,7,316,0,518,1520
DEN,OKC,Frontier Airlines Inc.,385,7,921,0,515,1828
DEN,OKC,Skywest Airlines Inc.,374,0,46,0,2341,2761
DEN,OKC,Southwest Airlines Co.,909,30,362,0,1271,2572
DEN,OKC,United Air Lines Inc.,2084,168,650,0,3709,6611
DEN,OMA,Frontier Airlines Inc.,481,94,899,0,425,1899
DEN,OMA,Skywest Airlines Inc.,331,138,201,0,549,1219
DEN,OMA,United Air Lines Inc.,3334,225,1558,0,9429,14546
DEN,ONT,United Air Lines Inc.,3940,177,1344,0,6747,12208
DEN,ORD,American Airlines Inc.,2745,343,11677,0,8741,23506
DEN,ORD,Skywest Airlines Inc.,0,0,253,0,0,253
DEN,ORD,United Air Lines Inc.,11668,344,14759,0,22921,49692
DEN,PBI,Frontier Airlines Inc.,288,0,245,0,39,572
DEN,PDX,Alaska Airlines Inc.,916,60,349,22,1562,2909
DEN,PDX,Frontier Airlines Inc.,2457,88,2923,0,1355,6823
DEN,PDX,Southwest Airlines Co.,152,0,50,0,230,432
DEN,PDX,United Air Lines Inc.,5438,279,1830,0,9481,17028
DEN,PHL,Frontier Airlines Inc.,2153,38,997,0,104,3292
DEN,PHL,Southwest Airlines Co.,401,297,883,6,1048,2635
DEN,PHL,US Airways Inc.,1383,31,1393,0,780,3587
DEN,PHL,United Air Lines Inc.,2743,77,4273,0,5128,12221
DEN,PHX,Frontier Airlines Inc.,2811,57,3329,0,1574,7771
DEN,PHX,Southwest Airlines Co.,1371,96,708,19,5761,7955
DEN,PHX,US Airways Inc.,1621,17,628,0,1866,4132
DEN,PHX,United Air Lines Inc.,5293,236,2073,0,8255,15857
DEN,PIA,Skywest Airlines Inc.,427,38,96,0,326,887
DEN,PIT,Skywest Airlines Inc.,86,17,3,0,584,690
DEN,PIT,United Air Lines Inc.,2676,126,702,0,3825,7329
DEN,PSC,Skywest Airlines Inc.,919,289,234,0,1980,3422
DEN,PSP,Skywest Airlines Inc.,1341,110,368,0,2315,4134
DEN,PSP,United Air Lines Inc.,501,12,193,0,1017,1723
DEN,RAP,Skywest Airlines Inc.,1443,62,340,0,2574,4419
DEN,RDU,Southwest Airlines Co.,348,0,209,0,623,1180
DEN,RDU,United Air Lines Inc.,422,36,272,0,1167,1897
DEN,RFD,Skywest Airlines Inc.,683,0,74,0,1696,2453
DEN,RNO,United Air Lines Inc.,3932,183,1414,0,4361,9890
DEN,RSW,Frontier Airlines Inc.,650,12,787,0,208,1657
DEN,SAN,Frontier Airlines Inc.,3286,98,4158,135,2157,9834
DEN,SAN,Southwest Airlines Co.,564,34,278,0,2440,3316
DEN,SAN,United Air Lines Inc.,5770,212,2396,0,10035,18413
DEN,SAT,Frontier Airlines Inc.,1168,13,1674,0,690,3545
DEN,SAT,Skywest Airlines Inc.,434,75,317,0,1110,1936
DEN,SAT,Southwest Airlines Co.,97,29,124,0,589,839
DEN,SAT,United Air Lines Inc.,1658,51,542,0,2788,5039
DEN,SBA,Skywest Airlines Inc.,1109,0,113,0,2468,3690
DEN,SDF,Frontier Airlines Inc.,504,34,1144,0,380,2062
DEN,SEA,Alaska Airlines Inc.,1821,117,1075,58,2210,5281
DEN,SEA,Frontier Airlines Inc.,2312,24,2217,0,1283,5836
DEN,SEA,Southwest Airlines Co.,1005,36,679,15,6325,8060
DEN,SEA,United Air Lines Inc.,5592,109,2562,0,12286,20549
DEN,SFO,Frontier Airlines Inc.,8354,52,3989,0,1005,13400
DEN,SFO,Skywest Airlines Inc.,65,0,0,0,0,65
DEN,SFO,United Air Lines Inc.,9207,568,10240,0,15368,35383
DEN,SGF,Skywest Airlines Inc.,1086,165,446,7,2420,4124
DEN,SJC,Frontier Airlines Inc.,1501,24,1961,0,980,4466
DEN,SJC,Southwest Airlines Co.,338,37,38,0,925,1338
DEN,SJC,United Air Lines Inc.,3365,243,1984,0,11018,16610
DEN,SLC,Delta Air Lines Inc.,427,0,220,0,568,1215
DEN,SLC,Frontier Airlines Inc.,4280,68,4482,0,1845,10675
DEN,SLC,Skywest Airlines Inc.,3369,539,778,0,6526,11212
DEN,SLC,Southwest Airlines Co.,1577,260,1088,13,9022,11960
DEN,SLC,United Air Lines Inc.,3811,219,1039,0,5821,10890
DEN,SMF,Frontier Airlines Inc.,2262,64,2552,0,833,5711
DEN,SMF,United Air Lines Inc.,3537,230,1691,0,8306,13764
DEN,SNA,Frontier Airlines Inc.,1341,59,1805,0,740,3945
DEN,SNA,United Air Lines Inc.,2934,56,1665,0,5465,10120
DEN,STL,Frontier Airlines Inc.,1723,155,1950,0,1016,4844
DEN,STL,Southwest Airlines Co.,257,61,43,0,945,1306
DEN,STL,United Air Lines Inc.,326,62,441,0,593,1422
DEN,TPA,Frontier Airlines Inc.,872,0,696,0,246,1814
DEN,TPA,Southwest Airlines Co.,625,0,82,0,592,1299
DEN,TPA,United Air Lines Inc.,3112,67,980,0,4112,8271
DEN,TUL,Skywest Airlines Inc.,437,35,166,0,1892,2530
DEN,TUL,United Air Lines Inc.,1740,22,437,0,4263,6462
DEN,TUS,Frontier Airlines Inc.,551,17,907,0,408,1883
DEN,TUS,Skywest Airlines Inc.,1489,0,170,0,2789,4448
DEN,TUS,United Air Lines Inc.,1072,0,267,0,2080,3419
DEN,TYS,Skywest Airlines Inc.,581,48,198,0,2494,3321
DEN,XNA,Skywest Airlines Inc.,447,23,179,0,2010,2659
DFW,ABI,American Eagle Airlines Inc.,6583,3072,2082,0,6527,18264
DFW,ABQ,American Airlines Inc.,8211,1088,2114,0,8610,20023
DFW,ACT,American Eagle Airlines Inc.,5416,1380,1239,0,2748,10783
DFW,AEX,American Eagle Airlines Inc.,2937,809,753,0,1376,5875
DFW,AMA,American Eagle Airlines Inc.,7427,1959,1466,0,7422,18274
DFW,ANC,American Airlines Inc.,961,78,291,0,193,1523
DFW,ATL,American Airlines Inc.,8697,1035,6349,0,8256,24337
DFW,ATL,Atlantic Southeast Airlines,65,0,17,0,78,160
DFW,ATL,Delta Air Lines Inc.,3459,1461,3140,0,7570,15630
DFW,ATL,Skywest Airlines Inc.,0,0,51,0,0,51
DFW,AUS,American Airlines Inc.,13768,2189,3715,0,13473,33145
DFW,BDL,American Airlines Inc.,3614,321,938,0,3139,8012
DFW,BHM,American Airlines Inc.,2592,288,1005,0,2549,6434
DFW,BNA,American Airlines Inc.,6508,1175,2047,0,6444,16174
DFW,BOS,American Airlines Inc.,7576,1254,7124,0,5472,21426
DFW,BTR,American Eagle Airlines Inc.,5953,2459,2262,0,4806,15480
DFW,BUF,American Eagle Airlines Inc.,511,120,47,0,535,1213
DFW,BUR,American Airlines Inc.,3864,390,1500,0,2623,8377
DFW,BWI,American Airlines Inc.,4968,675,1814,0,4006,11463
DFW,CAE,American Eagle Airlines Inc.,2701,680,912,0,2315,6608
DFW,CHA,American Eagle Airlines Inc.,667,148,349,0,714,1878
DFW,CHS,American Eagle Airlines Inc.,2770,501,1175,0,1512,5958
DFW,CID,American Eagle Airlines Inc.,3252,1148,835,0,2853,8088
DFW,CLE,American Eagle Airlines Inc.,5759,634,860,0,3102,10355
DFW,CLL,American Eagle Airlines Inc.,3328,918,786,0,1435,6467
DFW,CLT,American Airlines Inc.,4533,460,1920,0,4144,11057
DFW,CLT,US Airways Inc.,2298,128,609,0,2225,5260
DFW,CMH,American Airlines Inc.,2781,494,770,0,1808,5853
DFW,CMH,American Eagle Airlines Inc.,1444,393,247,0,1369,3453
DFW,CMI,American Eagle Airlines Inc.,1321,779,158,0,483,2741
DFW,COS,American Airlines Inc.,6591,1016,1794,0,4937,14338
DFW,CRP,American Eagle Airlines Inc.,4470,1799,1465,0,3860,11594
DFW,CVG,American Eagle Airlines Inc.,3499,1502,1238,0,3343,9582
DFW,CVG,Skywest Airlines Inc.,139,0,15,0,583,737
DFW,DAY,American Airlines Inc.,2796,291,882,0,2274,6243
DFW,DCA,American Airlines Inc.,11084,2065,4974,0,11165,29288
DFW,DEN,American Airlines Inc.,11602,1718,4468,0,11080,28868
DFW,DEN,Frontier Airlines Inc.,1707,301,2538,0,3014,7560
DFW,DEN,Skywest Airlines Inc.,45,0,0,0,49,94
DFW,DEN,United Air Lines Inc.,3494,195,1707,22,9251,14669
DFW,DSM,American Eagle Airlines Inc.,5739,1433,1141,0,5259,13572
DFW,DTW,American Airlines Inc.,6223,1385,1690,0,5534,14832
DFW,EGE,American Airlines Inc.,3250,625,1046,0,2263,7184
DFW,ELP,American Airlines Inc.,7150,1092,2258,0,9426,19926
DFW,EVV,American Eagle Airlines Inc.,823,265,317,0,635,2040
DFW,EWR,American Airlines Inc.,4201,827,12268,0,5770,23066
DFW,FAT,American Airlines Inc.,2474,415,791,0,1710,5390
DFW,FLL,American Airlines Inc.,7982,1396,2214,0,6009,17601
DFW,FNT,American Eagle Airlines Inc.,541,483,214,0,439,1677
DFW,FSM,American Eagle Airlines Inc.,4050,1310,1209,0,3048,9617
DFW,FWA,American Eagle Airlines Inc.,1295,579,379,0,1920,4173
DFW,GGG,American Eagle Airlines Inc.,3128,672,456,0,1515,5771
DFW,GJT,American Eagle Airlines Inc.,1010,495,204,0,390,2099
DFW,GPT,American Eagle Airlines Inc.,2260,1145,673,0,2177,6255
DFW,GRK,American Eagle Airlines Inc.,10887,2744,1499,0,7730,22860
DFW,GRR,American Eagle Airlines Inc.,1910,918,451,0,1118,4397
DFW,GSO,American Airlines Inc.,113,6,133,0,271,523
DFW,GSO,American Eagle Airlines Inc.,1264,672,490,0,1074,3500
DFW,GSP,American Eagle Airlines Inc.,2987,1002,898,0,2167,7054
DFW,GUC,American Airlines Inc.,1329,32,389,0,687,2437
DFW,HDN,American Airlines Inc.,990,46,263,0,268,1567
DFW,HNL,American Airlines Inc.,2583,299,546,0,28,3456
DFW,HOU,American Eagle Airlines Inc.,5332,2286,1834,0,3801,13253
DFW,HSV,American Airlines Inc.,1617,144,323,0,1630,3714
DFW,HSV,American Eagle Airlines Inc.,3166,1040,639,0,2137,6982
DFW,IAD,American Airlines Inc.,5084,397,1727,0,3292,10500
DFW,IAH,American Airlines Inc.,5777,766,3263,0,4806,14612
DFW,ICT,American Airlines Inc.,3865,1363,1438,0,3558,10224
DFW,ICT,American Eagle Airlines Inc.,654,103,56,0,501,1314
DFW,IND,American Airlines Inc.,5023,958,1854,0,4826,12661
DFW,JAC,American Airlines Inc.,1186,229,91,0,787,2293
DFW,JAN,American Eagle Airlines Inc.,5492,2006,1973,0,5415,14886
DFW,JAX,American Airlines Inc.,3124,895,872,0,2494,7385
DFW,JFK,American Airlines Inc.,2088,298,4105,0,803,7294
DFW,LAS,American Airlines Inc.,13871,1591,6571,0,10014,32047
DFW,LAS,US Airways Inc.,1875,32,868,0,2711,5486
DFW,LAW,American Eagle Airlines Inc.,5709,1153,1115,0,2710,10687
DFW,LAX,American Airlines Inc.,19700,3192,7381,0,11263,41536
DFW,LAX,Skywest Airlines Inc.,1269,1004,397,0,1702,4372
DFW,LBB,American Eagle Airlines Inc.,9595,2218,2420,0,8671,22904
DFW,LEX,American Eagle Airlines Inc.,1735,670,480,0,1271,4156
DFW,LFT,American Eagle Airlines Inc.,3896,1342,1459,0,2278,8975
DFW,LGA,American Airlines Inc.,12187,1437,36627,0,12174,62425
DFW,LIT,American Eagle Airlines Inc.,11345,2513,2415,0,8878,25151
DFW,LRD,American Eagle Airlines Inc.,3912,1418,815,0,3231,9376
DFW,MAF,American Eagle Airlines Inc.,5358,1515,1243,0,4319,12435
DFW,MCI,American Airlines Inc.,8291,727,2385,0,7613,19016
DFW,MCO,American Airlines Inc.,11835,1390,3856,0,7082,24163
DFW,MDT,American Eagle Airlines Inc.,2202,358,88,0,1241,3889
DFW,MEM,American Airlines Inc.,2968,597,1732,0,3607,8904
DFW,MFE,American Airlines Inc.,3257,1088,988,0,3650,8983
DFW,MIA,American Airlines Inc.,15524,1625,5074,0,9276,31499
DFW,MKE,American Eagle Airlines Inc.,1401,193,328,0,524,2446
DFW,MLI,American Eagle Airlines Inc.,867,388,217,0,640,2112
DFW,MLU,American Eagle Airlines Inc.,2036,1217,461,0,1202,4916
DFW,MOB,American Eagle Airlines Inc.,2486,960,1277,0,2203,6926
DFW,MSN,American Eagle Airlines Inc.,1810,581,420,0,1747,4558
DFW,MSP,American Airlines Inc.,5493,1037,2626,0,5800,14956
DFW,MSY,American Airlines Inc.,7443,1234,3189,0,5411,17277
DFW,MTJ,American Airlines Inc.,242,11,107,0,52,412
DFW,MTJ,American Eagle Airlines Inc.,1078,103,204,0,750,2135
DFW,OAK,American Airlines Inc.,3088,580,1385,0,2524,7577
DFW,OGG,American Airlines Inc.,974,331,172,0,52,1529
DFW,OKC,American Airlines Inc.,6588,1982,1282,0,5823,15675
DFW,OKC,American Eagle Airlines Inc.,548,393,258,0,333,1532
DFW,OMA,American Airlines Inc.,4438,1158,1576,0,4920,12092
DFW,ONT,American Airlines Inc.,5440,1025,2306,0,4481,13252
DFW,ORD,American Airlines Inc.,10560,2029,29619,0,19115,61323
DFW,ORD,Skywest Airlines Inc.,409,60,2172,0,1000,3641
DFW,ORD,United Air Lines Inc.,1745,395,10352,43,8097,20632
DFW,ORF,American Airlines Inc.,2276,418,635,0,1115,4444
DFW,ORF,American Eagle Airlines Inc.,1662,177,375,0,969,3183
DFW,PBI,American Airlines Inc.,2106,316,912,0,1795,5129
DFW,PDX,American Airlines Inc.,5009,893,2041,0,2893,10836
DFW,PHL,American Airlines Inc.,6050,908,10505,0,5618,23081
DFW,PHL,US Airways Inc.,1243,346,4834,0,2250,8673
DFW,PHX,American Airlines Inc.,10201,1538,3038,0,7113,21890
DFW,PHX,US Airways Inc.,2228,626,902,24,3220,7000
DFW,PIA,American Eagle Airlines Inc.,1466,251,535,0,1697,3949
DFW,PIT,American Eagle Airlines Inc.,8577,1635,1641,0,4907,16760
DFW,PNS,American Eagle Airlines Inc.,4831,2801,1472,0,3231,12335
DFW,PSP,American Airlines Inc.,4166,304,1506,0,2788,8764
DFW,RDU,American Airlines Inc.,6331,823,2405,0,4815,14374
DFW,RIC,American Airlines Inc.,2611,586,1422,0,2367,6986
DFW,RNO,American Airlines Inc.,4679,291,1691,0,4024,10685
DFW,ROC,American Eagle Airlines Inc.,590,80,104,0,476,1250
DFW,ROW,American Eagle Airlines Inc.,1870,622,562,0,1740,4794
DFW,RSW,American Airlines Inc.,2602,865,882,0,1376,5725
DFW,SAN,American Airlines Inc.,12313,1989,4562,0,9548,28412
DFW,SAT,American Airlines Inc.,14491,2239,4364,0,15445,36539
DFW,SAV,American Eagle Airlines Inc.,1960,647,541,0,1680,4828
DFW,SBA,American Eagle Airlines Inc.,1326,408,492,0,1004,3230
DFW,SDF,American Airlines Inc.,2453,317,583,0,1706,5059
DFW,SDF,American Eagle Airlines Inc.,1285,219,383,0,302,2189
DFW,SEA,Alaska Airlines Inc.,1188,657,548,17,2551,4961
DFW,SEA,American Airlines Inc.,10378,1393,4764,0,6517,23052
DFW,SFO,American Airlines Inc.,11626,2266,14311,0,6926,35129
DFW,SFO,United Air Lines Inc.,1217,44,540,0,1315,3116
DFW,SGF,American Eagle Airlines Inc.,9056,4110,1966,0,5824,20956
DFW,SHV,American Eagle Airlines Inc.,11349,2665,2584,0,5757,22355
DFW,SJC,American Airlines Inc.,5502,943,2339,0,5094,13878
DFW,SJT,American Eagle Airlines Inc.,4297,979,980,0,2471,8727
DFW,SJU,American Airlines Inc.,5510,590,1749,0,2386,10235
DFW,SLC,American Airlines Inc.,7195,1058,2360,0,4072,14685
DFW,SLC,Delta Air Lines Inc.,1582,67,240,0,907,2796
DFW,SLC,Skywest Airlines Inc.,1046,484,86,0,2444,4060
DFW,SMF,American Airlines Inc.,4365,587,1790,0,3109,9851
DFW,SNA,American Airlines Inc.,9871,1155,4564,10,7202,22802
DFW,SPS,American Eagle Airlines Inc.,6734,1625,1175,0,2864,12398
DFW,STL,American Airlines Inc.,9752,1471,2488,0,8675,22386
DFW,SYR,American Eagle Airlines Inc.,386,142,64,0,190,782
DFW,TPA,American Airlines Inc.,8017,1429,3026,0,6651,19123
DFW,TUL,American Airlines Inc.,7240,1056,1488,0,6573,16357
DFW,TUL,American Eagle Airlines Inc.,4082,1131,500,0,2242,7955
DFW,TUS,American Airlines Inc.,8989,1433,2772,0,8416,21610
DFW,TXK,American Eagle Airlines Inc.,2796,1318,1089,0,1690,6893
DFW,TYR,American Eagle Airlines Inc.,4254,1358,774,0,1973,8359
DFW,TYS,American Eagle Airlines Inc.,4519,1193,1381,0,3099,10192
DFW,VPS,American Eagle Airlines Inc.,3693,1159,1770,0,4011,10633
DFW,XNA,American Airlines Inc.,1837,305,509,0,3160,5811
DFW,XNA,American Eagle Airlines Inc.,6986,1984,1393,0,4848,15211
DHN,ATL,Atlantic Southeast Airlines,5517,1927,2303,20,462,10229
DLG,ANC,Alaska Airlines Inc.,10,0,42,0,400,452
DRO,ABQ,Skywest Airlines Inc.,0,0,0,0,46,46
DRO,DEN,Skywest Airlines Inc.,1223,1405,294,0,924,3846
DRO,SLC,Skywest Airlines Inc.,549,332,0,0,371,1252
