Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Denver International Airport - Lincoln Airport (Lincoln Municipal),Skywest Airlines Inc.,1426,0,316,0,3829,5571
Denver International Airport - Los Angeles International Airport,American Airlines Inc.,1106,79,645,0,2481,4311
Denver International Airport - Los Angeles International Airport,Frontier Airlines Inc.,4948,94,4763,0,1595,11400
Denver International Airport - Los Angeles International Airport,Southwest Airlines Co.,947,7,397,0,1492,2843
Denver International Airport - Los Angeles International Airport,United Air Lines Inc.,9081,521,3352,0,16601,29555
Denver International Airport - Louis Armstrong New Orleans International Airport,United Air Lines Inc.,2717,60,800,0,3538,7115
Denver International Airport - Louisville International Airport (Standiford Field),Frontier Airlines Inc.,504,34,1144,0,380,2062
Denver International Airport - McCarran International Airport,Frontier Airlines Inc.,5777,96,4436,0,1736,12045
Denver International Airport - McCarran International Airport,Southwest Airlines Co.,2088,343,2489,13,10684,15617
Denver International Airport - McCarran International Airport,United Air Lines Inc.,8340,642,5591,0,11862,26435
Denver International Airport - McGhee Tyson Airport,Skywest Airlines Inc.,581,48,198,0,2494,3321
Denver International Airport - Meadows Field,Skywest Airlines Inc.,349,0,60,0,1130,1539
Denver International Airport - Memphis International Airport,Frontier Airlines Inc.,135,0,9,0,20,164
Denver International Airport - Memphis International Airport,Skywest Airlines Inc.,712,0,214,0,1108,2034
Denver International Airport - Miami International Airport,American Airlines Inc.,1597,42,267,0,0,1906
Denver International Airport - Miami International Airport,United Air Lines Inc.,3276,160,866,0,2392,6694
Denver International Airport - Minneapolis-Saint Paul International Airport,Frontier Airlines Inc.,1752,63,1850,0,662,4327
Denver International Airport - Minneapolis-Saint Paul International Airport,United Air Lines Inc.,3664,238,1717,0,6620,12239
Denver International Airport - Missoula International Airport,Skywest Airlines Inc.,902,90,99,0,2044,3135
Denver International Airport - Missoula International Airport,United Air Lines Inc.,795,16,110,0,998,1919
Denver International Airport - Monterey Regional Airport (Monterey Peninsula Airport),Skywest Airlines Inc.,339,80,65,0,362,846
Denver International Airport - Montrose Regional Airport,Skywest Airlines Inc.,0,52,0,0,0,52
Denver International Airport - Montrose Regional Airport,United Air Lines Inc.,127,0,23,0,91,241
Denver International Airport - Nashville International Airport,Frontier Airlines Inc.,1462,35,2212,0,728,4437
Denver International Airport - Nashville International Airport,Skywest Airlines Inc.,952,0,144,1,1140,2237
Denver International Airport - Nashville International Airport,Southwest Airlines Co.,925,12,329,5,1783,3054
Denver International Airport - Natrona County International Airport,Skywest Airlines Inc.,175,108,55,0,701,1039
Denver International Airport - Newark Liberty International Airport,United Air Lines Inc.,2098,309,11428,0,5564,19399
Denver International Airport - Norman Y. Mineta San José International Airport,Frontier Airlines Inc.,1501,24,1961,0,980,4466
Denver International Airport - Norman Y. Mineta San José International Airport,Southwest Airlines Co.,338,37,38,0,925,1338
Denver International Airport - Norman Y. Mineta San José International Airport,United Air Lines Inc.,3365,243,1984,0,11018,16610
Denver International Airport - Northwest Arkansas Regional Airport,Skywest Airlines Inc.,447,23,179,0,2010,2659
Denver International Airport - Oakland International Airport,Southwest Airlines Co.,1941,42,948,0,8418,11349
Denver International Airport - Oakland International Airport,United Air Lines Inc.,3552,146,1311,0,7716,12725
Denver International Airport - Ontario International Airport,United Air Lines Inc.,3940,177,1344,0,6747,12208
Denver International Airport - Orlando International Airport,Frontier Airlines Inc.,1470,15,1205,0,419,3109
Denver International Airport - Orlando International Airport,Southwest Airlines Co.,522,28,323,95,1323,2291
Denver International Airport - Orlando International Airport,United Air Lines Inc.,3823,219,1264,0,4373,9679
Denver International Airport - Palm Beach International Airport,Frontier Airlines Inc.,288,0,245,0,39,572
Denver International Airport - Palm Springs International Airport,Skywest Airlines Inc.,1341,110,368,0,2315,4134
Denver International Airport - Palm Springs International Airport,United Air Lines Inc.,501,12,193,0,1017,1723
Denver International Airport - Philadelphia International Airport,Frontier Airlines Inc.,2153,38,997,0,104,3292
Denver International Airport - Philadelphia International Airport,Southwest Airlines Co.,401,297,883,6,1048,2635
Denver International Airport - Philadelphia International Airport,US Airways Inc.,1383,31,1393,0,780,3587
Denver International Airport - Philadelphia International Airport,United Air Lines Inc.,2743,77,4273,0,5128,12221
Denver International Airport - Phoenix Sky Harbor International Airport,Frontier Airlines Inc.,2811,57,3329,0,1574,7771
Denver International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,1371,96,708,19,5761,7955
Denver International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,1621,17,628,0,1866,4132
Denver International Airport - Phoenix Sky Harbor International Airport,United Air Lines Inc.,5293,236,2073,0,8255,15857
Denver International Airport - Pittsburgh International Airport,Skywest Airlines Inc.,86,17,3,0,584,690
Denver International Airport - Pittsburgh International Airport,United Air Lines Inc.,2676,126,702,0,3825,7329
Denver International Airport - Port Columbus International Airport,United Air Lines Inc.,1624,207,278,0,1653,3762
Denver International Airport - Portland International Airport,Alaska Airlines Inc.,916,60,349,22,1562,2909
Denver International Airport - Portland International Airport,Frontier Airlines Inc.,2457,88,2923,0,1355,6823
Denver International Airport - Portland International Airport,Southwest Airlines Co.,152,0,50,0,230,432
Denver International Airport - Portland International Airport,United Air Lines Inc.,5438,279,1830,0,9481,17028
Denver International Airport - Quad City International Airport,Skywest Airlines Inc.,297,23,6,0,851,1177
Denver International Airport - Raleigh-Durham International Airport,Southwest Airlines Co.,348,0,209,0,623,1180
