Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Port Columbus International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,523,46,288,0,803,1660
Port Columbus International Airport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,396,50,299,0,1024,1769
Port Columbus International Airport - Tampa International Airport,Southwest Airlines Co.,1206,185,394,0,2620,4405
Portland International Airport - Albuquerque International Sunport,Southwest Airlines Co.,424,40,34,0,114,612
Portland International Airport - Bob Hope Airport (Hollywood Burbank Airport),Alaska Airlines Inc.,0,0,0,0,64,64
Portland International Airport - Boise Airport (Boise Air Terminal),Southwest Airlines Co.,1436,199,133,65,3124,4957
Portland International Airport - Charlotte Douglas International Airport,US Airways Inc.,107,0,11,0,234,352
Portland International Airport - Chicago Midway International Airport,Southwest Airlines Co.,1002,58,706,0,1062,2828
Portland International Airport - Chicago O'Hare International Airport,American Airlines Inc.,1038,39,757,0,30,1864
Portland International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,2076,0,4464,0,5925,12465
Portland International Airport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,58,0,52,0,544,654
Portland International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,3985,114,731,0,2148,6978
